date,steps,distance,runDistance,calories
21/08/2022,3162,2175,230,90
22/08/2022,6049,4273,215,170
23/08/2022,3641,2465,243,96
24/08/2022,6854,4686,442,197
25/08/2022,3159,2167,238,84
26/08/2022,6113,4257,348,172
27/08/2022,8237,5761,350,233
28/08/2022,7172,5085,365,230
29/08/2022,4504,3323,180,170
30/08/2022,3753,2574,211,96
31/08/2022,12716,9210,431,2097
01/09/2022,3513,2372,283,3364
02/09/2022,11084,8082,435,3605
03/09/2022,11992,8495,503,4635
04/09/2022,1455,986,71,1897
05/09/2022,10066,7082,345,2694
06/09/2022,7104,4919,350,3204
07/09/2022,3155,2167,104,3734
08/09/2022,7455,5237,412,2608
09/09/2022,2324,1568,120,63
10/09/2022,1350,922,31,32
11/09/2022,2071,1498,118,72
12/09/2022,4738,3363,134,120
13/09/2022,14468,10261,569,476
14/09/2022,4200,2943,261,127
15/09/2022,471,313,75,14
16/09/2022,831,553,110,16
17/09/2022,0,0,0,0
18/09/2022,1538,1059,98,39
19/09/2022,4835,3292,255,130
20/09/2022,9689,7183,405,315
21/09/2022,1037,696,96,22
22/09/2022,15741,11546,551,561
23/09/2022,10610,7779,349,347
24/09/2022,4767,3299,187,131
25/09/2022,110,73,13,3
26/09/2022,0,0,0,0
27/09/2022,0,0,0,0
28/09/2022,8093,6100,340,276
29/09/2022,9009,6767,347,325
30/09/2022,4619,3223,321,129
01/10/2022,5052,3809,85,161
02/10/2022,2036,1359,101,46
03/10/2022,4659,3274,332,135
04/10/2022,3350,2289,254,86
05/10/2022,1525,1039,61,35
06/10/2022,10055,7358,328,344
07/10/2022,6296,4268,490,161
08/10/2022,8443,5953,308,271
09/10/2022,3777,2609,306,102
10/10/2022,2326,1630,78,77
11/10/2022,2441,1702,118,60
12/10/2022,0,0,0,0
13/10/2022,65,43,0,1
14/10/2022,2716,1898,226,68
15/10/2022,7937,5611,454,268
16/10/2022,5286,3857,274,145
17/10/2022,5430,3694,405,136
18/10/2022,2309,1596,125,67
19/10/2022,1515,1010,179,35
21/10/2022,2828,1984,106,72
22/10/2022,4353,2963,254,118
23/10/2022,3850,2695,74,130
24/10/2022,1853,1261,73,46
26/10/2022,2130,1487,135,59
27/10/2022,10064,7552,310,410
28/10/2022,9357,7014,194,400
29/10/2022,922,617,81,20
30/10/2022,2942,2005,202,67
31/10/2022,3493,2397,218,86
01/11/2022,461,312,51,11
02/11/2022,32,21,0,1
03/11/2022,4211,2948,335,151
05/11/2022,7113,5372,242,329
06/11/2022,1388,964,100,33
07/11/2022,0,0,0,0
08/11/2022,0,0,0,0
09/11/2022,1583,1121,118,53
10/11/2022,983,654,79,22
11/11/2022,3576,2426,173,89
12/11/2022,3110,2196,128,85
13/11/2022,9299,6756,425,334
14/11/2022,563,375,48,14
15/11/2022,1364,988,58,42
16/11/2022,990,662,120,23
17/11/2022,420,279,46,11
18/11/2022,2957,2082,184,86
19/11/2022,3225,2429,89,113
20/11/2022,1414,967,123,31
21/11/2022,3010,2124,111,86
22/11/2022,151,100,16,6
23/11/2022,0,0,0,0
24/11/2022,145,96,0,3
25/11/2022,0,0,0,0
26/11/2022,2699,1910,47,88
27/11/2022,1369,959,123,37
28/11/2022,0,0,0,0
29/11/2022,0,0,0,0
