date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps,,,,,,,,,,,,,,,
22/01/2022,62,252,0,2022-01-21 22:35:00+0000,2022-01-22 04:36:00+0000,47,,,,,,,,,,,,,,,,
23/01/2022,89,302,19,2022-01-22 20:29:00+0000,2022-01-23 05:47:00+0000,148,,,,,,,,,,,,,,,,
24/01/2022,46,304,11,2022-01-23 19:49:00+0000,2022-01-24 03:15:00+0000,85,,,,,,,,,,,,,,,,
25/01/2022,44,177,3,2022-01-25 00:43:00+0000,2022-01-25 04:48:00+0000,21,"[{\start\"":\""2022-01-08 00:38:45+0000\""","\""end\"":\""2022-01-08 00:39:05+0000\""}","{\""start\"":\""2022-01-08 00:39:06+0000\""","\""end\"":\""2022-01-08 00:39:23+0000\""}","{\""start\"":\""2022-01-08 00:39:24+0000\""","\""end\"":\""2022-01-08 00:39:53+0000\""}","{\""start\"":\""2022-01-08 00:39:54+0000\""","\""end\"":\""2022-01-08 00:39:56+0000\""}","{\""start\"":\""2022-01-08 00:39:57+0000\""","\""end\"":\""2022-01-08 00:40:26+0000\""}","{\""start\"":\""2022-01-08 00:40:27+0000\""","\""end\"":\""2022-01-08 00:40:37+0000\""}","{\""start\"":\""2022-01-08 00:40:38+0000\""","\""end\"":\""2022-01-08 00:41:45+0000\""}]""",,
26/01/2022,5,149,0,2022-01-26 00:37:00+0000,2022-01-26 03:16:00+0000,5,,,,,,,,,,,,,,,,
27/01/2022,14,93,0,2022-01-26 20:13:00+0000,2022-01-26 22:12:00+0000,12,,,,,,,,,,,,,,,,
28/01/2022,80,99,41,2022-01-27 23:15:00+0000,2022-01-28 04:02:00+0000,67,,,,,,,,,,,,,,,,
29/01/2022,73,211,0,2022-01-28 22:13:00+0000,2022-01-29 03:28:00+0000,31,"[{\start\"":\""2022-01-08 00:36:12+0000\""","\""end\"":\""2022-01-08 00:36:29+0000\""}]""",,,,,,,,,,,,,,
30/01/2022,51,191,14,2022-01-29 18:34:00+0000,2022-01-29 23:29:00+0000,39,,,,,,,,,,,,,,,,
31/01/2022,71,199,16,2022-01-30 21:39:00+0000,2022-01-31 03:10:00+0000,45,,,,,,,,,,,,,,,,
01/02/2022,46,287,1,2022-01-31 19:36:00+0000,2022-02-01 02:15:00+0000,65,,,,,,,,,,,,,,,,
02/02/2022,1,71,0,2022-02-01 22:41:00+0000,2022-02-02 00:11:00+0000,18,,,,,,,,,,,,,,,,
03/02/2022,45,340,12,2022-02-02 21:14:00+0000,2022-02-03 04:30:00+0000,39,,,,,,,,,,,,,,,,
04/02/2022,64,342,6,2022-02-03 19:32:00+0000,2022-02-04 03:37:00+0000,73,,,,,,,,,,,,,,,,
05/02/2022,27,123,24,2022-02-04 23:21:00+0000,2022-02-05 03:24:00+0000,69,,,,,,,,,,,,,,,,
06/02/2022,27,115,17,2022-02-05 22:03:00+0000,2022-02-06 01:32:00+0000,50,,,,,,,,,,,,,,,,
